survey_response_id,employee_scd_id,year,recommendation_rating,comment,has_comment,enps_category,sentiment
1,202301141,2023,9,Team spirit is strong and the atmosphere is friendly and supportive. I feel proud to be part of the company.,True,promoter,positive
2,202300500,2023,7,"Pay progression feels slow compared with responsibilities and performance expectations. Career progression can feel unclear, especially around the criteria for promotion.",True,passive,negative
3,202301553,2023,8,Innovation and a forward-looking strategy make the business feel resilient. Supportive leadership and clear feedback make it easy to do great work.,True,passive,positive
4,202301348,2023,8,Supportive leadership and clear feedback make it easy to do great work.,True,passive,positive
5,202301554,2023,9,Innovation and a forward-looking strategy make the business feel resilient. Supportive leadership and clear feedback make it easy to do great work. I feel proud to be part of the company.,True,promoter,positive
6,202300032,2023,8,Learning opportunities and projects help me build strong consulting skills.,True,passive,positive
7,202300376,2023,10,I can maintain a healthy balance most of the time and flexibility helps. I feel proud to be part of the company.,True,promoter,positive
8,202301834,2023,6,Workload peaks can be intense and staffing feels tight on some projects.,True,detractor,negative
9,202301495,2023,8,"Tools and logistics support delivery well, and the hybrid setup works smoothly. Compensation feels competitive for the market and responsibilities.",True,passive,positive
10,202301089,2023,8,Compensation feels competitive for the market and responsibilities. I can maintain a healthy balance most of the time and flexibility helps.,True,passive,positive
11,202301101,2023,7,"Onboarding and integration were smooth, and the team culture is welcoming.",True,passive,positive
12,202301088,2023,9,"I appreciate the trust and autonomy; the management style feels genuinely empowering. Overall, I would recommend Skapa without hesitation.",True,promoter,positive
13,202300471,2023,6,Team cohesion varies by project and it can feel isolating when switching assignments.,True,detractor,negative
14,202300832,2023,8,Compensation feels competitive for the market and responsibilities.,True,passive,positive
15,202301895,2023,7,The values are stated clearly but not always reflected in day-to-day decisions. Sustained pressure can lead to fatigue and I’ve seen early signs of burnout risk.,True,passive,negative
16,202300107,2023,8,"The company feels stable and well-positioned in the market, with strong client demand.",True,passive,positive
17,202300816,2023,10,"Team spirit is strong and the atmosphere is friendly and supportive. The company feels stable and well-positioned in the market, with strong client demand. I feel proud to be part of the company.",True,promoter,positive
18,202301204,2023,5,,False,detractor,
