survey_response_id,employee_scd_id,year,recommendation_rating,comment,has_comment
1,202301141,2023,9,Team spirit is strong and the atmosphere is friendly and supportive. I feel proud to be part of the company.,True
2,202300500,2023,7,"Pay progression feels slow compared with responsibilities and performance expectations. Career progression can feel unclear, especially around the criteria for promotion.",True
3,202301553,2023,8,Innovation and a forward-looking strategy make the business feel resilient. Supportive leadership and clear feedback make it easy to do great work.,True
4,202301348,2023,8,Supportive leadership and clear feedback make it easy to do great work.,True
5,202301554,2023,9,Innovation and a forward-looking strategy make the business feel resilient. Supportive leadership and clear feedback make it easy to do great work. I feel proud to be part of the company.,True
6,202300032,2023,8,Learning opportunities and projects help me build strong consulting skills.,True
7,202300376,2023,10,I can maintain a healthy balance most of the time and flexibility helps. I feel proud to be part of the company.,True
8,202301834,2023,6,Workload peaks can be intense and staffing feels tight on some projects.,True
9,202301495,2023,8,"Tools and logistics support delivery well, and the hybrid setup works smoothly. Compensation feels competitive for the market and responsibilities.",True
10,202301089,2023,8,Compensation feels competitive for the market and responsibilities. I can maintain a healthy balance most of the time and flexibility helps.,True
11,202301101,2023,7,"Onboarding and integration were smooth, and the team culture is welcoming.",True
12,202301088,2023,9,"I appreciate the trust and autonomy; the management style feels genuinely empowering. Overall, I would recommend Skapa without hesitation.",True
13,202300471,2023,6,Team cohesion varies by project and it can feel isolating when switching assignments.,True
14,202300832,2023,8,Compensation feels competitive for the market and responsibilities.,True
15,202301895,2023,7,The values are stated clearly but not always reflected in day-to-day decisions. Sustained pressure can lead to fatigue and I’ve seen early signs of burnout risk.,True
16,202300107,2023,8,"The company feels stable and well-positioned in the market, with strong client demand.",True
17,202300816,2023,10,"Team spirit is strong and the atmosphere is friendly and supportive. The company feels stable and well-positioned in the market, with strong client demand. I feel proud to be part of the company.",True
18,202301204,2023,5,,False
19,202301512,2023,8,The work feels meaningful because projects have clear impact for clients and society.,True
20,202300974,2023,10,"Onboarding and integration were smooth, and the team culture is welcoming. I feel proud to be part of the company.",True
21,202300122,2023,8,I appreciate the increased transparency from leadership on decisions and direction. Innovation and a forward-looking strategy make the business feel resilient.,True
22,202301424,2023,8,,False
23,202301579,2023,9,,False
24,202300995,2023,8,Compensation feels competitive for the market and responsibilities.,True
25,202300904,2023,10,"Team spirit is strong and the atmosphere is friendly and supportive. Recognition and coaching are consistent, which helps me grow and perform. I feel proud to be part of the company.",True
26,202300513,2023,8,Learning opportunities and projects help me build strong consulting skills.,True
27,202300271,2023,9,"I feel aligned with the values, especially inclusion, sustainability and fairness. Overall, I would recommend Skapa without hesitation.",True
28,202300140,2023,9,Compensation feels competitive for the market and responsibilities. Skapa remains attractive with interesting missions and a solid reputation. I feel proud to be part of the company.,True
29,202300319,2023,9,Team spirit is strong and the atmosphere is friendly and supportive. Supportive leadership and clear feedback make it easy to do great work. I feel proud to be part of the company.,True
30,202300238,2023,8,I appreciate the trust and autonomy; the management style feels genuinely empowering.,True
31,202301325,2023,9,"Learning opportunities and projects help me build strong consulting skills. Overall, I would recommend Skapa without hesitation.",True
32,202300577,2023,8,Work conditions are good overall and hybrid work is handled pragmatically. I’m satisfied with my pay and the overall benefits package.,True
33,202300900,2023,8,I appreciate the trust and autonomy; the management style feels genuinely empowering. Client exposure and variety of missions are a real strength of consulting here.,True
34,202301246,2023,7,Decision-making can feel top-down and recognition for effort is not always there.,True
35,202300629,2023,5,Team cohesion varies by project and it can feel isolating when switching assignments.,True
36,202300365,2023,6,,False
37,202300123,2023,9,"Supportive leadership and clear feedback make it easy to do great work. Tools and logistics support delivery well, and the hybrid setup works smoothly. Overall, I would recommend Skapa without hesitation.",True
38,202300907,2023,9,,False
39,202300672,2023,7,Management practices feel inconsistent and feedback is often too late to be useful.,True
40,202300696,2023,7,The employer brand could be stronger to attract and retain top talent. Sometimes the work feels less meaningful when priorities are driven mainly by utilization.,True
41,202300635,2023,10,Learning opportunities and projects help me build strong consulting skills. Cross-team collaboration is improving and it’s easier to work transversally. I feel proud to be part of the company.,True
